Helper,product_type,sa_name,Rank,MP,completeness_weight,correctness_weight,normalization_weight,PT Scope,ASCS PT excluded,ASCS All excluded,Excluded,IDQ program PT overlap,IDQ program PT+Attribute overlap
AIR_COMPRESSOR-voltage,AIR_COMPRESSOR,voltage,2,1,8,8,8,1,0,0,0,1,1
AIR_COMPRESSOR-recommended_uses_for_product,AIR_COMPRESSOR,recommended_uses_for_product,3,1,8,8,8,1,0,0,0,1,0
AIR_COMPRESSOR-power_source_type,AIR_COMPRESSOR,power_source_type,4,1,8,8,8,1,0,0,0,1,1
AIR_COMPRESSOR-noise_level,AIR_COMPRESSOR,noise_level,5,1,8,8,8,1,0,0,0,1,0
AIR_COMPRESSOR-special_feature,AIR_COMPRESSOR,special_feature,6,1,4,4,4,1,0,0,0,1,0
AIR_COMPRESSOR-included_components,AIR_COMPRESSOR,included_components,7,1,4,4,4,1,0,0,0,1,0
AIR_COMPRESSOR-item_weight,AIR_COMPRESSOR,item_weight,8,1,4,4,4,1,0,1,1,1,0
AIR_COMPRESSOR-maximum_power,AIR_COMPRESSOR,maximum_power,9,1,4,4,4,1,0,0,0,1,0
AIR_COMPRESSOR-capacity,AIR_COMPRESSOR,capacity,10,1,4,4,4,1,0,0,0,1,0
AIR_COMPRESSOR-color,AIR_COMPRESSOR,color,11,1,4,4,4,1,0,0,0,1,1
AIR_COMPRESSOR-material,AIR_COMPRESSOR,material,12,1,2,2,2,1,0,0,0,1,1
AIR_COMPRESSOR-item_length_width_height,AIR_COMPRESSOR,item_length_width_height,13,1,2,2,2,1,0,0,0,1,0
AIR_COMPRESSOR-style,AIR_COMPRESSOR,style,14,1,2,2,2,1,0,0,0,1,0
AIR_COMPRESSOR-country_of_origin,AIR_COMPRESSOR,country_of_origin,15,1,2,2,2,1,0,1,1,1,0
AIR_COMPRESSOR-maximum_current,AIR_COMPRESSOR,maximum_current,16,1,2,2,2,1,0,0,0,1,0
AIR_COMPRESSOR-air_flow_capacity,AIR_COMPRESSOR,air_flow_capacity,17,1,2,2,2,1,0,0,0,1,0
AIR_COMPRESSOR-motor_horsepower,AIR_COMPRESSOR,motor_horsepower,18,1,1,1,1,1,0,0,0,1,0
AIR_COMPRESSOR-compatible_hose_diameter,AIR_COMPRESSOR,compatible_hose_diameter,19,1,1,1,1,1,0,0,0,1,0
AIR_COMPRESSOR-model_number,AIR_COMPRESSOR,model_number,20,1,1,1,1,1,0,0,0,1,0
AIR_COMPRESSOR-model_name,AIR_COMPRESSOR,model_name,23,1,1,1,1,1,0,0,0,1,0
AIR_COMPRESSOR-hose_length,AIR_COMPRESSOR,hose_length,25,1,1,1,1,1,0,0,0,1,0
AIR_COMPRESSOR-eu_spare_part_availability_duration,AIR_COMPRESSOR,eu_spare_part_availability_duration,27,1,1,1,1,1,0,0,0,1,0
AIR_CONDITIONER-brand,AIR_CONDITIONER,brand,1,1,8,8,8,1,0,1,1,1,1
AIR_CONDITIONER-capacity,AIR_CONDITIONER,capacity,2,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-cooling_power,AIR_CONDITIONER,cooling_power,3,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-special_feature,AIR_CONDITIONER,special_feature,4,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-item_depth_width_height,AIR_CONDITIONER,item_depth_width_height,5,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-energy_star,AIR_CONDITIONER,energy_star,6,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-start_year,AIR_CONDITIONER,start_year,7,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-seasonal_energy_efficiency_ratio,AIR_CONDITIONER,seasonal_energy_efficiency_ratio,8,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-color,AIR_CONDITIONER,color,9,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-voltage,AIR_CONDITIONER,voltage,10,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-noise_level,AIR_CONDITIONER,noise_level,11,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-refrigerant,AIR_CONDITIONER,refrigerant,14,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-filter_type,AIR_CONDITIONER,filter_type,15,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-power_source_type,AIR_CONDITIONER,power_source_type,17,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-form_factor,AIR_CONDITIONER,form_factor,19,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-model_name,AIR_CONDITIONER,model_name,20,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-warranty_type,AIR_CONDITIONER,warranty_type,21,1,8,8,8,1,0,0,0,1,1
AIR_CONDITIONER-air_flow_efficiency,AIR_CONDITIONER,air_flow_efficiency,22,1,8,8,8,1,0,0,0,1,0
AIR_CONDITIONER-item_weight,AIR_CONDITIONER,item_weight,23,1,8,8,8,1,0,1,1,1,1
AIR_CONDITIONER-control_method,AIR_CONDITIONER,control_method,24,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-core_material,AIR_CONDITIONER,core_material,25,1,4,4,4,1,0,0,0,1,1
AIR_CONDITIONER-inverter_type,AIR_CONDITIONER,inverter_type,26,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-model_number,AIR_CONDITIONER,model_number,27,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-wattage,AIR_CONDITIONER,wattage,29,1,4,4,4,1,0,0,0,1,1
AIR_CONDITIONER-controller_type,AIR_CONDITIONER,controller_type,30,1,4,4,4,1,0,0,0,1,1
AIR_CONDITIONER-efficiency,AIR_CONDITIONER,efficiency,31,1,4,4,4,1,0,0,0,1,1
AIR_CONDITIONER-installation_type,AIR_CONDITIONER,installation_type,32,1,4,4,4,1,0,0,0,1,1
AIR_CONDITIONER-eu_spare_part_availability_duration,AIR_CONDITIONER,eu_spare_part_availability_duration,38,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-built_in_stabilizer_voltage_range,AIR_CONDITIONER,built_in_stabilizer_voltage_range,39,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-compressor_type,AIR_CONDITIONER,compressor_type,40,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-indoor_unit_dimensions,AIR_CONDITIONER,indoor_unit_dimensions,41,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-outdoor_unit_dimensions,AIR_CONDITIONER,outdoor_unit_dimensions,42,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-is_cordless,AIR_CONDITIONER,is_cordless,43,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-is_electric,AIR_CONDITIONER,is_electric,44,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-number_of_circuits,AIR_CONDITIONER,number_of_circuits,45,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-number_of_heating_elements,AIR_CONDITIONER,number_of_heating_elements,46,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-number_of_power_levels,AIR_CONDITIONER,number_of_power_levels,47,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-number_of_tubes,AIR_CONDITIONER,number_of_tubes,48,1,4,4,4,1,0,0,0,1,0
AIR_CONDITIONER-series_number,AIR_CONDITIONER,series_number,49,1,4,4,4,1,0,0,0,1,0
