product_type,attributes,Stream,cum_weightage,sa_name,completeness_weight,UMP,Seller - Required vs Optional
SHOES,outer_material,"'FAQ', 'Customer_Search'",0.4,,,,
SHOES,heel_height,"'Refinement', 'FAQ'",0.4,,,,
SHOES,footwear_size,"'Refinement', 'FAQ'",0.4,footwear_size,8,rac,Required
SHOES,color,"'Refinement', 'Customer_Search'",0.4,color,8,rac,Required
HAIR_DRYER, brand,'DPMO',0.4,,,,
SHOES,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
SHAMPOO,material_type_free,"'Refinement', 'FAQ'",0.4,material_type_free,4,UMP,Optional
HAIR_TRIMMER,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,4,UMP,Optional
HAIR_TRIMMER,recommended_uses_for_product,"'Refinement', 'FAQ'",0.4,recommended_uses_for_product,8,rac,Optional
HAIR_TRIMMER,power_source_type,"'FAQ', 'Customer_Search'",0.4,power_source_type,4,rac,Optional
SHAMPOO,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,4,UMP,Optional
SHIRT,fabric_type,"'FAQ', 'Customer_Search'",0.4,fabric_type,8,mac,Required
HAIR_STYLING_AGENT, product_benefit,"'FAQ', 'Customer_Search'",0.4,,,,
HAIR_STYLING_AGENT,hair_type,"'FAQ', 'Customer_Search'",0.4,hair_type,8,rac,Required
HAIR_STYLING_AGENT,ingredients,"'FAQ', 'Customer_Search'",0.4,ingredients,4,UMP,Optional
HAIR_STYLING_AGENT,item_form,"'Refinement', 'Customer_Search'",0.4,item_form,4,rac,Required
HAIR_STYLING_AGENT,material_type_free,"'Refinement', 'FAQ'",0.4,material_type_free,8,UMP,Optional
HAIR_STYLING_AGENT,number_of_items,"'Refinement', 'FAQ'",0.4,number_of_items,4,mac,Required
HAIR_STYLING_AGENT,product_benefit,"'Refinement', 'Customer_Search'",0.4,product_benefit,8,rac,Required
FOOD_STORAGE_CONTAINER,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,4,rac,Optional
SKIN_CLEANING_AGENT,scent,"'Refinement', 'FAQ'",0.4,scent,8,mac,Required
DRINKING_CUP,specific_uses_for_product,"'FAQ', 'Customer_Search'",0.4,specific_uses_for_product,4,UMP,Optional
FOOD_STORAGE_CONTAINER,material_feature,"'Refinement', 'FAQ'",0.4,material_feature,8,UMP,Optional
STRING_LIGHT,power_source_type,"'FAQ', 'Customer_Search'",0.4,power_source_type,8,rac,Optional
STRING_LIGHT,light_source_type,"'Refinement', 'Customer_Search'",0.4,,,,
EDIBLE_OIL_VEGETABLE,container_material,"'FAQ', 'Customer_Search'",0.4,,,,
STRING_LIGHT,light_color,"'Refinement', 'Customer_Search'",0.4,light_color,8,UMP,Optional
